VENDOR,SUPPLIER CODE,ITEM CODE,SHORT DESCRIPTION,NOTES,NZ RRP EXCL,NZ DEALER EXCL
AVPro Edge,AC-BTSSF-5KUHD-10,AC-BTSSF-5KUHD-10,"Bullet Train 10 Metre AOC HDMI Cable w/ 18Gbps Low Power HDMI & Cleerline Fiber Inside, FT4, CL2/3 (32.8FT)",,$297,$208
AVPro Edge,AC-BTSSF-5KUHD-15,AC-BTSSF-5KUHD-15,"Bullet Train 15 Metre AOC HDMI Cable w/ 18Gbps Low Power HDMI & Cleerline Fiber Inside, FT4, CL2/3 (49.2FT)",,$314,$220
AVPro Edge,AC-BTSSF-5KUHD-20,AC-BTSSF-5KUHD-20,"Bullet Train 20 Metre AOC HDMI Cable w/ 18Gbps Low Power HDMI & Cleerline Fiber Inside, FT4, CL2/3 (65.6FT)",,$363,$254
AVPro Edge,AC-BTSSF-5KUHD-30,AC-BTSSF-5KUHD-30,"Bullet Train 30 Metre AOC HDMI Cable w/ 18Gbps Low Power HDMI & Cleerline Fiber Inside, FT4, CL2/3 (98.4FT)",,$441,$309
AVPro Edge,AC-BTSSF-5KUHD-40,AC-BTSSF-5KUHD-40,"Bullet Train 40 Metre AOC HDMI Cable w/ 18Gbps Low Power HDMI & Cleerline Fiber Inside, FT4, CL2/3 (131.2FT)",*Limited stock available*,$386,$270
AVPro Edge,AC-BTSSF-USB3-A2C-05,AC-BTSSF-USB3-A2C-05,Bullet Train 5 Metre USB 3.1 Long Distance Active Optical Cable (A-C),*Limited stock available*,$224,$157
AVPro Edge,AC-BTSSF-USB3-A2C-10,AC-BTSSF-USB3-A2C-10,Bullet Train 10 Metre USB 3.1 Long Distance Active Optical Cable (A-C ),*Limited stock available*,$269,$188
AVPro Edge,AC-BTSSF-USB3-A2C-15,AC-BTSSF-USB3-A2C-15,Bullet Train 15 Metre USB 3.1 Long Distance Active Optical Cable (A-C),*Limited stock available*,$317,$222
AVPro Edge,AC-BTSSF-USB3-A2C-30,AC-BTSSF-USB3-A2C-30,Bullet Train 30 Metre USB 3.1 Long Distance Active Optical Cable (A-C),*Limited stock available*,$451,$316
AVPro Edge,AC-BTSSF-USB3-A2C-40,AC-BTSSF-USB3-A2C-40,Bullet Train 40 Metre USB 3.1 Long Distance Active Optical Cable (A-C),*Limited stock available*,$533,$373
AVPro Edge,AC-BTSSF-USB3-HUB-05,AC-BTSSF-USB3-HUB-05,Bullet Train 5 Metre USB 3.0 Extension Cable with 4 Port Hub,*Limited stock available*,$419,$294
AVPro Edge,AC-BTSSF-USB3-HUB-10,AC-BTSSF-USB3-HUB-10,Bullet Train 10 Metre USB 3.0 Extension Cable with 4 Port Hub,*Limited stock available*,$475,$332
AVPro Edge,AC-BTSSF-USB3-HUB-15,AC-BTSSF-USB3-HUB-15,Bullet Train 15 Metre USB 3.0 Extension Cable with 4 Port Hub,*Limited stock available*,$522,$366
