StockCode,Vendor,VendorStockCode,StockDescription,PrimaryCategory,SecondaryCategory,TertiaryCategory,RRPEx,DealerEx,StockAvailable,ETA,Status,Type,BundledItem1,BundledItem2,BundledItem3,BundledItem4,BundledItem5
01-SSC-2062,SONICWALL,01-SSC-2062,"SMA CMS POOLED PERPETUAL LICENSE 20000 USER - REQUIRES SUPPORT","NETWORKING","SMA","LICENSING","691099.00","509447.00",0,TBA,A,StockedItem,,,,,
01-SSC-2063,SONICWALL,01-SSC-2063,"SMA CMS POOLED PERPETUAL LICENSE 50000 USER - REQUIRES SUPPORT","NETWORKING","SMA","LICENSING","1256545.00","926267.00",0,TBA,A,StockedItem,,,,,
01-SSC-2065,SONICWALL,01-SSC-2065,"SMA POOLED PERPETUAL 24X7 SUPPORT 10 USER 1 YEAR","NETWORKING","SMA","LICENSING","628.00","463.00",0,TBA,A,StockedItem,,,,,
01-SSC-2066,SONICWALL,01-SSC-2066,"SMA POOLED PERPETUAL 24X7 SUPPORT 50 USER 1 YEAR","NETWORKING","SMA","LICENSING","2932.00","2161.00",0,TBA,A,StockedItem,,,,,
01-SSC-2067,SONICWALL,01-SSC-2067,"SMA POOLED PERPETUAL 24X7 SUPPORT 100 USER 1 YEAR","NETWORKING","SMA","LICENSING","5864.00","4323.00",0,TBA,A,StockedItem,,,,,
01-SSC-2068,SONICWALL,01-SSC-2068,"SMA POOLED PERPETUAL 24X7 SUPPORT 250 USER 1 YEAR","NETWORKING","SMA","LICENSING","11937.00","8800.00",0,TBA,A,StockedItem,,,,,
01-SSC-2069,SONICWALL,01-SSC-2069,"SMA POOLED PERPETUAL 24X7 SUPPORT 500 USER 1 YEAR","NETWORKING","SMA","LICENSING","18848.00","13894.00",0,TBA,A,StockedItem,,,,,
01-SSC-2070,SONICWALL,01-SSC-2070,"SMA POOLED PERPETUAL 24X7 SUPPORT 1,000 USER 1 YEAR","NETWORKING","SMA","LICENSING","31414.00","23157.00",0,TBA,A,StockedItem,,,,,
01-SSC-2071,SONICWALL,01-SSC-2071,"SMA POOLED PERPETUAL 24X7 SUPPORT 2,500 USER 1 YEAR","NETWORKING","SMA","LICENSING","52356.00","38594.00",0,TBA,A,StockedItem,,,,,
01-SSC-2072,SONICWALL,01-SSC-2072,"SMA POOLED PERPETUAL 24X7 SUPPORT 5,000 USER 1 YEAR","NETWORKING","SMA","LICENSING","62827.00","46313.00",0,TBA,A,StockedItem,,,,,
01-SSC-2073,SONICWALL,01-SSC-2073,"SMA POOLED PERPETUAL 24X7 SUPPORT 10,000 USER 1 YEAR","NETWORKING","SMA","LICENSING","104712.00","77189.00",0,TBA,A,StockedItem,,,,,
01-SSC-2074,SONICWALL,01-SSC-2074,"SMA POOLED PERPETUAL 24X7 SUPPORT 20,000 USER 1 YEAR","NETWORKING","SMA","LICENSING","172775.00","127362.00",0,TBA,A,StockedItem,,,,,
01-SSC-2075,SONICWALL,01-SSC-2075,"SMA POOLED PERPETUAL 24X7 SUPPORT 50,000 USER 1 YEAR","NETWORKING","SMA","LICENSING","314136.00","231567.00",0,TBA,A,StockedItem,,,,,
01-SSC-2076,SONICWALL,01-SSC-2076,"SMA POOLED PERPETUAL 24X7 SUPPORT 10 USER 3 YEARS","NETWORKING","SMA","LICENSING","1675.00","1235.00",0,TBA,A,StockedItem,,,,,
01-SSC-2077,SONICWALL,01-SSC-2077,"SMA POOLED PERPETUAL 24X7 SUPPORT 50 USER 3 YEARS","NETWORKING","SMA","LICENSING","7330.00","5403.00",0,TBA,A,StockedItem,,,,,
01-SSC-2078,SONICWALL,01-SSC-2078,"SMA POOLED PERPETUAL 24X7 SUPPORT 100 USER 3 YEARS","NETWORKING","SMA","LICENSING","14660.00","10806.00",0,TBA,A,StockedItem,,,,,
01-SSC-2079,SONICWALL,01-SSC-2079,"SMA POOLED PERPETUAL 24X7 SUPPORT 250 USER 3 YEARS","NETWORKING","SMA","LICENSING","29319.00","21613.00",0,TBA,A,StockedItem,,,,,
01-SSC-2080,SONICWALL,01-SSC-2080,"SMA POOLED PERPETUAL 24X7 SUPPORT 500 USER 3 YEARS","NETWORKING","SMA","LICENSING","48168.00","35507.00",0,TBA,A,StockedItem,,,,,
01-SSC-2081,SONICWALL,01-SSC-2081,"SMA POOLED PERPETUAL 24X7 SUPPORT 1,000 USER 3 YEARS","NETWORKING","SMA","LICENSING","79581.00","58664.00",0,TBA,A,StockedItem,,,,,
01-SSC-2082,SONICWALL,01-SSC-2082,"SMA POOLED PERPETUAL 24X7 SUPPORT 2,500 USER 3 YEARS","NETWORKING","SMA","LICENSING","129843.00","95714.00",0,TBA,A,StockedItem,,,,,
01-SSC-2083,SONICWALL,01-SSC-2083,"SMA POOLED PERPETUAL 24X7 SUPPORT 5,000 USER 3 YEARS","NETWORKING","SMA","LICENSING","157068.00","115783.00",0,TBA,A,StockedItem,,,,,
