Product_Code,Brand,Category,Product_Name,Description,Long_Description,Reseller_Buy,RRP,Images,Stock,Warranty,Average_Lead_Time
PBE-5AC-500,Ubiquiti,Wireless,PBE-5AC-500,PowerBeam M5 AC 802.11n/ac 27dBi AP/Bridge/CPE,https://www.snappernet.co.nz/product/2517/PBE-5AC-500,284.44,406,https://cdn.n2erp.co.nz/sna_7997037D-0128-4104-B866-3D126751B9E7/images/products/main/pbe-5ac-500_636113568932314766.jpg,0,12,0
ROCKETM2,Ubiquiti,Wireless,ROCKETM2,Rocket M2 802.11n/b/g 500mW Outdoor AP/Bridge,https://www.snappernet.co.nz/product/2525/ROCKETM2,141,201,https://cdn.n2erp.co.nz/sna_7997037D-0128-4104-B866-3D126751B9E7/images/products/main/rocketm2_636487806059066250.jpg,0,12,0
429004,Opengear,Cables/Accessories,429004,Dual SIM holder for ACM700X,https://www.snappernet.co.nz/product/49749/429004,18.96,27,https://cdn.n2erp.co.nz/sna_7997037D-0128-4104-B866-3D126751B9E7/images/products/main/opengear_ksqilprx.gjv.jpg,0,48,14
C29NP-3SP,Panorama,Cables/Accessories,C29NP-3SP,3 meter N-Male to SMA-Male CS29 Cable for Cellular Routers,,47.61,68,https://cdn.n2erp.co.nz/sna_7997037D-0128-4104-B866-3D126751B9E7/images/products/main/cable-smamaletonmale_w1orjb3e.43y.jpg,3,12,0
LBAD,AKCP,Monitoring/Management,LBAD,LoRa Wireless Sensor 2x 0-10VDC input & 2x 4-20mAmp inputs,https://www.snappernet.co.nz/product/16539/LBAD,304.5,435,https://cdn.n2erp.co.nz/sna_7997037D-0128-4104-B866-3D126751B9E7/images/products/main/lbad_a0uzj5lz.n2p.png,0,12,14
ITRONCAM,iTRON,Security & Surveillance,ITRONCAM,iTronCAM DIY IP Camera Wireless Solar Battery with Cloud Storage,,249,356,https://cdn.n2erp.co.nz/sna_7997037D-0128-4104-B866-3D126751B9E7/images/products/main/itroncam_tqgbimoo.y1c.jpg,1,12,0
LBE-5AC-XR,Ubiquiti,Wireless,LBE-5AC-XR,airMAX LiteBeam AC 5GHz XR CPE/Bridge Radio 450Mbps 29dBi Antenna,https://www.snappernet.co.nz/product/56338/LBE-5AC-XR,332.78,475,https://cdn.n2erp.co.nz/sna_7997037D-0128-4104-B866-3D126751B9E7/images/products/main/lbe-5ac-xr_mdn1awtu.4tk.jpg,2,12,0
GWN7605,Grandstream,Wireless,GWN7605,802.11ac Wave-2 Wireless AP 2x GigE Ports,https://www.snappernet.co.nz/product/56459/GWN7605,104.87,150,https://cdn.n2erp.co.nz/sna_7997037D-0128-4104-B866-3D126751B9E7/images/products/main/gwn7605_wtbedlcd.t1c.jpg,2,36,0
U-2050,STLab,USB to X,U-2050,USB 3.1 Type-C to DisplayPort Adapter,https://www.snappernet.co.nz/product/37098/U-2050,23,33,https://cdn.n2erp.co.nz/sna_7997037D-0128-4104-B866-3D126751B9E7/images/products/main/u-2050_esmcfdb2.f4a.jpg,1,12,0
RAIL-A03-57,QNAP,Cables/Accessories,RAIL-A03-57,Rail Kit for 2U and 3U NAS TS-EC1280U-RP TS-EC1680U-RP TVS-EC1280U-SAS-RP TVS-EC1680U-SAS-RP REXP-1220U-RP REXP-1620U-RP SS-ECx79U-S,https://www.snappernet.co.nz/product/2878/RAIL-A03-57,318.29,455,https://cdn.n2erp.co.nz/sna_7997037D-0128-4104-B866-3D126751B9E7/images/products/main/RAIL-A03-57_636053078229411429.jpg,0,12,0
