Manufacturer,Part Number,Short Description,Unit of Measure,NZD MSRP,Dealer's Cost Column 1,Description of Cost for Column 1,Column1,Column2,Column3,Column4,Column5,Column6,Column7,UL/ETL Listed,Currency,DIM Weight,Weight Unit of Measure,SKU/UPC,Model Name,Long Description,Other Description,Serialized Item,Not Available for Sale,Item Status,Manufacturer's Category,Replacement Item Part Number,Replacement Item Model Name,Required Accessories,Optional Accessories,MAP (Minimum Advertised Price),GSA Cost Price,GSA Sell Price,Discount-Off List,Freight Policy,FOB/Ex-works,Freight Class,Drop Ship Y/N?,U.S Energy Star Y/N?,TAA Compliant Y/N?,Certificate of Origin,URL/Link,Manufacturer's Division,InfoComm iQ Category,InfoComm Member Number,Notes,,,
Biamp Systems,911.0708.900,DS1339B,EA,193,116,NZD MSRP - 40%,,,,,,,,Y,NZD,3.628736,Kg,,DS1339B,70V plenum loudspeaker - black,Sound Masking Loudspeaker,y,n,Current,Cambridge,,,,,193,,,,,PO,Standard Freight,n,n,N,China,https://www.biamp.com,Cambridge,,4911,Replaces DS1338B,,,
Biamp Systems,911.0709.900,DS1339W,EA,193,116,NZD MSRP - 40%,,,,,,,,N,NZD,3.628736,Kg,,DS1339W,70V plenum loudspeaker - white,Sound Masking Loudspeaker,y,n,Current,Cambridge,,,,,193,,,,,PO,Standard Freight,n,n,N,China,https://www.biamp.com,Cambridge,,4911,Replaces DS1338W,,,
Biamp Systems,911.0712.900,DS1357B,EA,193,116,NZD MSRP - 40%,,,,,,,,Y,NZD,3.628736,Kg,,DS1357B,8 Ohm plenum loudspeaker - black,Sound Masking Loudspeaker,y,n,Current,Cambridge,,,,,193,,,,,PO,Standard Freight,n,n,N,China,https://www.biamp.com,Cambridge,,4911,Replaces DS1356B,,,
Biamp Systems,911.0713.900,DS1357W,EA,193,116,NZD MSRP - 40%,,,,,,,,Y,NZD,3.628736,Kg,,DS1357W,8 Ohm plenum loudspeaker - white,Sound Masking Loudspeaker,y,n,Current,Cambridge,,,,,193,,,,,PO,Standard Freight,n,n,N,China,https://www.biamp.com,Cambridge,,4911,Replaces DS1356W,,,
Biamp Systems,911.0836.900,DS1375,EA,240,144,NZD MSRP - 40%,,,,,,,,N,NZD,1.814368,Kg,,DS1375,In-ceiling downward firing loudspeaker. 70V and 8 ohm compatible,Sound Masking Loudspeaker,y,n,Current,Cambridge,,,,,240,,,,,PO,Standard Freight,n,n,y,USA,https://www.biamp.com,Cambridge,,4911,,,,
Biamp Systems,911.0840.900,DS1390,EA,193,116,NZD MSRP - 40%,,,,,,,,Y,NZD,0.907184,Kg,,DS1390,70V low-profile loudspeaker with clip,Sound Masking Loudspeaker,y,n,Current,Cambridge,,,,,193,,,,,PO,Standard Freight,n,n,N,China,https://www.biamp.com,Cambridge,,4911,,,,
Biamp Systems,911.0876.900,DS1390B,EA,333,200,NZD MSRP - 40%,,,,,,,,Y,NZD,2.041164,Kg,,DS1390B,70V low-profile loudspeaker with tile bridge,Sound Masking Loudspeaker,y,n,Current,Cambridge,,,,,333,,,,,PO,Standard Freight,n,n,N,China,https://www.biamp.com,Cambridge,,4911,,,,
Biamp Systems,911.0841.900,DS1398,EA,193,116,NZD MSRP - 40%,,,,,,,,Y,NZD,0.907184,Kg,,DS1398,8 Ohm low-profile loudspeaker with clip,Sound Masking Loudspeaker,y,n,Current,Cambridge,,,,,193,,,,,PO,Standard Freight,n,n,N,China,https://www.biamp.com,Cambridge,,4911,,,,
Biamp Systems,911.0877.900,DS1398B,EA,333,200,NZD MSRP - 40%,,,,,,,,Y,NZD,1.814368,Kg,,DS1398B,8 Ohm low-profile loudspeaker with tile bridge,Sound Masking Loudspeaker,y,n,Current,Cambridge,,,,,333,,,,,PO,Standard Freight,n,n,N,China,https://www.biamp.com,Cambridge,,4911,,,,
Biamp Systems,911.0844.900,DS2022,EA,130,78,NZD MSRP - 40%,,,,,,,,N,NZD,2.26796,Kg,,DS2022,Return air grill cover / attenuator,Sound Masking Accessories,n,n,Current,Cambridge,,,,,130,,,,,PO,Standard Freight,n,n,y,USA,https://www.biamp.com,Cambridge,,4911,,,,
Biamp Systems,911.0808.900,DS2400,EA,570,342,NZD MSRP - 40%,,,,,,,,N,NZD,0.907184,Kg,,DS2400,"70V duct, pipe, conduit, wall masker for SCIF / secure rooms",Emitters,y,n,Current,Cambridge,,,,,570,,,,,PO,Standard Freight,n,n,y,USA,https://www.biamp.com,Cambridge,,4911,,,,
Biamp Systems,911.0809.900,DS2408,EA,790,474,NZD MSRP - 40%,,,,,,,,N,NZD,0.226796,Kg,,DS2408,"8 Ohm, pipe, conduit, wall masker for SCIF / secure rooms",Emitters,y,n,Current,Cambridge,,,,,790,,,,,PO,Standard Freight,n,n,y,USA,https://www.biamp.com,Cambridge,,4911,,,,
Biamp Systems,911.0810.900,DS2500,EA,497,298,NZD MSRP - 40%,,,,,,,,N,NZD,0.453592,Kg,,DS2500,"70V window, door, wall masker for SCIF / secure rooms",Emitters,y,n,Current,Cambridge,,,,,497,,,,,PO,Standard Freight,n,n,y,USA,https://www.biamp.com,Cambridge,,4911,,,,
Biamp Systems,911.0811.900,DS2508,EA,1133,680,NZD MSRP - 40%,,,,,,,,N,NZD,0.453592,Kg,,DS2508,"8 Ohm, window, door, wall masker for SCIF / secure room",Emitters,y,n,Current,Cambridge,,,,,1133,,,,,PO,Standard Freight,n,n,y,USA,https://www.biamp.com,Cambridge,,4911,,,,
Biamp Systems,911.0815.900,DS2530,EA,657,394,NZD MSRP - 40%,,,,,,,,N,NZD,0.453592,Kg,,DS2530,"70V window, door, wall masker for SCIF/secure rooms. W/vol. control & retractable cord.",Emitters,y,n,Current,Cambridge,,,,,657,,,,,PO,Standard Freight,n,n,y,USA,https://www.biamp.com,Cambridge,,4911,,,,
Biamp Systems,911.0818.900,DS3002,EA,3120,1872,NZD MSRP - 40%,,,,,,,,N,NZD,4.53592,Kg,,DS3002,6x2x8 channel sound masking generator/mixer/controller,Generator/Amplifier,y,n,Current,Cambridge,,,,,3120,,,,,PO,Standard Freight,n,n,y,USA,https://www.biamp.com,Cambridge,,4911,,,,
Biamp Systems,911.0802.900,DS-CP8201,EA,495,297,NZD MSRP - 40%,,,,,,,,N,NZD,,Kg,,DS-CP8201,Contact closure module,Sound Masking Accessories,n,n,Current,Cambridge,,,,,495,,,,,PO,Standard Freight,n,n,N,China,https://www.biamp.com,Cambridge,,4911,,,,
Biamp Systems,911.0845.900,DSLG22,EA,1063,1063,NZD MSRP,,,,,,,,N,NZD,4.989512,Kg,,DSLG22,Lab Gruppen 2x100 70V Amplifier,Amplifier,y,n,Current,Cambridge,,,,,1063,,,,,PO,Standard Freight,n,n,N,Thailand,https://www.biamp.com,Cambridge,,4911,,,,
Biamp Systems,911.0849.900,DSMSK1,EA,513,513,NZD MSRP,,,,,,,,N,NZD,1.360776,Kg,,DSMSK1,MSK-1 Solid Drive Sound Masking Speaker for Drywall,Emitters,y,n,Current,Cambridge,,,,,513,,,,,PO,Standard Freight,n,n,N,China,https://www.biamp.com,Cambridge,,4911,,,,
Biamp Systems,650.0101.900,DSPC7,EA,47,28,NZD MSRP - 40%,,,,,,,,N,NZD,0.226796,Kg,,DSPC7,7-foot Category 5 patch cable,Cabling,n,n,Current,Cambridge,,,,,47,,,,,PO,Standard Freight,n,n,N,China,https://www.biamp.com,Cambridge,,4911,,,,
Biamp Systems,415.0050.900,DSPC-B,PER FOOT,3,2,NZD MSRP - 40%,,,,,,,,N,NZD,0.009979024,Kg,,DSPC-B,"18 AWG cable, 2 Conductor, plenum rated - Black",Cabling,n,n,Current,Cambridge,,,,,3,,,,,PO,Standard Freight,n,n,y,USA,https://www.biamp.com,Cambridge,,4911,,,,
Biamp Systems,415.0052.900,DSPC-W,PER FOOT,3,2,NZD MSRP - 40%,,,,,,,,N,NZD,0.009979024,Kg,,DSPC-W,"18 AWG cable, 2 Conductor, plenum rated - White",Cabling,n,n,Current,Cambridge,,,,,3,,,,,PO,Standard Freight,n,n,y,USA,https://www.biamp.com,Cambridge,,4911,,,,
